1,two-sum,ac,1,False,两数之和,数组;哈希表,41437416,java
2,add-two-numbers,,2,False,两数相加,链表;数学,,
3,longest-substring-without-repeating-characters,,2,False,无重复字符的最长子串,哈希表;双指针;字符串,,
4,median-of-two-sorted-arrays,,3,False,寻找两个正序数组的中位数,数组;二分查找;分治算法,,
5,longest-palindromic-substring,,2,False,最长回文子串,字符串;动态规划,,
6,zigzag-conversion,,2,False,Z 字形变换,字符串,,
7,reverse-integer,ac,1,False,整数反转,数学,42086727,cpp
8,string-to-integer-atoi,ac,2,False,字符串转换整数 (atoi),数学;字符串,59600454,python3
9,palindrome-number,,1,False,回文数,数学,,
10,regular-expression-matching,,3,False,正则表达式匹配,字符串;动态规划;回溯算法,,
11,container-with-most-water,,2,False,盛最多水的容器,数组;双指针,,
12,integer-to-roman,,2,False,整数转罗马数字,数学;字符串,,
13,roman-to-integer,,1,False,罗马数字转整数,数学;字符串,,
14,longest-common-prefix,,1,False,最长公共前缀,字符串,,
15,3sum,,2,False,三数之和,数组;双指针,,
16,3sum-closest,,2,False,最接近的三数之和,数组;双指针,,
17,letter-combinations-of-a-phone-number,,2,False,电话号码的字母组合,字符串;回溯算法,,
18,4sum,,2,False,四数之和,数组;哈希表;双指针,,
19,remove-nth-node-from-end-of-list,,2,False,删除链表的倒数第N个节点,链表;双指针,,
20,valid-parentheses,ac,1,False,有效的括号,栈;字符串,43644670,python
21,merge-two-sorted-lists,ac,1,False,合并两个有序链表,链表,43883322,cpp
22,generate-parentheses,,2,False,括号生成,字符串;回溯算法,,
23,merge-k-sorted-lists,ac,3,False,合并K个排序链表,堆;链表;分治算法,59619713,python3
24,swap-nodes-in-pairs,,2,False,两两交换链表中的节点,链表,,
25,reverse-nodes-in-k-group,,3,False,K 个一组翻转链表,链表,,
26,remove-duplicates-from-sorted-array,,1,False,删除排序数组中的重复项,数组;双指针,,
27,remove-element,,1,False,移除元素,数组;双指针,,
28,implement-strstr,,1,False,实现 strStr(),双指针;字符串,,
29,divide-two-integers,,2,False,两数相除,数学;二分查找,,
30,substring-with-concatenation-of-all-words,,3,False,串联所有单词的子串,哈希表;双指针;字符串,,
31,next-permutation,,2,False,下一个排列,数组,,
32,longest-valid-parentheses,,3,False,最长有效括号,字符串;动态规划,,
33,search-in-rotated-sorted-array,,2,False,搜索旋转排序数组,数组;二分查找,,
34,find-first-and-last-position-of-element-in-sorted-array,,2,False,在排序数组中查找元素的第一个和最后一个位置,数组;二分查找,,
35,search-insert-position,,1,False,搜索插入位置,数组;二分查找,,
36,valid-sudoku,,2,False,有效的数独,哈希表,,
37,sudoku-solver,,3,False,解数独,哈希表;回溯算法,,
38,count-and-say,,1,False,外观数列,字符串,,
39,combination-sum,,2,False,组合总和,数组;回溯算法,,
40,combination-sum-ii,,2,False,组合总和 II,数组;回溯算法,,
41,first-missing-positive,,3,False,缺失的第一个正数,数组,,
42,trapping-rain-water,ac,3,False,接雨水,栈;数组;双指针,59917281,java
43,multiply-strings,,2,False,字符串相乘,数学;字符串,,
44,wildcard-matching,,3,False,通配符匹配,贪心算法;字符串;动态规划;回溯算法,,
45,jump-game-ii,,3,False,跳跃游戏 II,贪心算法;数组,,
46,permutations,,2,False,全排列,回溯算法,,
47,permutations-ii,,2,False,全排列 II,回溯算法,,
48,rotate-image,,2,False,旋转图像,数组,,
49,group-anagrams,ac,2,False,字母异位词分组,哈希表;字符串,60299799,java
